subj	itemID	cond	Acc
S06	i102	RD	1
S06	i103	RD	1
S06	i104	RD	1
S06	i105	RD	1
S06	i106	UD	1
S06	i107	UC	1
S06	i108	UC	1
S06	i109	UC	1
S06	i110	RD	1
S06	i111	RC	1
S06	i112	UC	0
S06	i113	UC	1
S06	i114	UC	1
S06	i115	UD	1
S06	i116	UD	1
S06	i117	UC	1
S06	i118	UD	0
S06	i119	RC	1
S06	i120	RD	1
S07	i001	RC	1
S07	i002	UC	1
S07	i003	UD	1
S07	i004	UC	1
S07	i005	UC	1
S07	i006	UD	1
S07	i007	UC	1
S07	i008	RC	1
S07	i009	RD	1
S07	i010	RC	1
S07	i011	UD	1
S07	i012	UC	1
S07	i013	RC	1
S07	i014	RD	1
S07	i015	UD	1
S07	i016	UC	1
S07	i017	UD	1
S07	i018	UC	1
S07	i019	UC	1
S07	i020	RC	1
S07	i021	UD	1
S07	i022	RC	1
S07	i023	UC	0
S07	i024	RD	1
S07	i025	RC	1
S07	i026	UC	1
S07	i027	UC	1
S07	i028	RC	1
S07	i029	UD	1
S07	i030	RD	1
S07	i031	UC	1
S07	i032	UC	1
S07	i033	RC	1
S07	i034	RD	1
S07	i035	RD	1
S07	i036	RD	1
S07	i037	RD	1
S07	i038	RD	1
S07	i039	RD	0
S07	i040	UD	0
S07	i041	RC	1
S07	i042	UD	1
S07	i043	UD	1
S07	i044	RD	1
S07	i045	RC	1
S07	i046	RD	1
S07	i047	UC	1
S07	i048	UD	1
S07	i049	RD	1
S07	i050	RD	1
S07	i051	UD	1
S07	i052	UD	1
S07	i053	RD	0
S07	i054	RC	1
S07	i055	RC	1
S07	i056	RD	1
S07	i057	UC	1
S07	i058	UD	1
S07	i059	UD	1
S07	i060	RD	1
S07	i061	RD	1
S07	i062	RC	1
S07	i063	UD	1
S07	i064	RD	1
S07	i065	UC	1
S07	i066	RC	1
S07	i067	UD	1
S07	i068	UC	1
S07	i069	UD	1
S07	i070	UC	1
S07	i071	UD	0
S07	i072	RC	1
S07	i073	UC	1
S07	i074	UD	1
S07	i075	UD	1
S07	i076	UD	1
S07	i077	UC	0
S07	i078	RC	1
S07	i079	UD	1
S07	i080	UC	1
S07	i081	UD	1
S07	i082	UD	0
S07	i083	RD	1
S07	i084	RC	1
S07	i085	UD	0
S07	i086	RC	1
S07	i087	UD	1
S07	i088	UD	1
S07	i089	RD	1
S07	i090	UC	1
S07	i091	RD	1
S07	i092	UC	1
S07	i093	RC	1
S07	i094	RD	1
S07	i095	UC	1
S07	i096	RC	1
S07	i097	RC	1
S07	i098	RD	1
S07	i099	RD	1
S07	i100	RD	1
S07	i101	RC	0
S07	i102	UC	1
S07	i103	UC	1
S07	i104	UC	1
S07	i105	UC	1
S07	i106	RD	1
S07	i107	RC	1
S07	i108	RC	1
S07	i109	RC	1
S07	i110	UC	1
S07	i111	UD	1
S07	i112	RC	1
S07	i113	RC	1
S07	i114	RC	1
S07	i115	RD	1
S07	i116	RD	1
S07	i117	RC	1
S07	i118	RD	1
S07	i119	UD	1
S07	i120	UC	1
S08	i001	UD	1
S08	i002	RC	1
S08	i003	RD	1
S08	i004	RC	1
S08	i005	RC	1
S08	i006	RD	1
S08	i007	RC	1
S08	i008	UD	1
S08	i009	UC	1
S08	i010	UD	1
S08	i011	RD	1
S08	i012	RC	1
S08	i013	UD	1
S08	i014	UC	1
S08	i015	RD	1
S08	i016	RC	1
S08	i017	RD	1
S08	i018	RC	1
S08	i019	RC	1
S08	i020	UD	1
S08	i021	RD	1
S08	i022	UD	1
S08	i023	RC	1
S08	i024	UC	1
S08	i025	UD	1
S08	i026	RC	1
S08	i027	RC	1
S08	i028	UD	1
S08	i029	RD	1
S08	i030	UC	1
S08	i031	RC	1
S08	i032	RC	1
S08	i033	UD	1
S08	i034	UC	1
S08	i035	UC	1
S08	i036	UC	1
S08	i037	UC	1
S08	i038	UC	1
S08	i039	UC	1
S08	i040	RD	1
S08	i041	UD	1
S08	i042	RD	1
S08	i043	RD	1
S08	i044	UC	1
S08	i045	UD	1
S08	i046	UC	1
S08	i047	RC	1
S08	i048	RD	1
S08	i049	UC	1
S08	i050	UC	1
S08	i051	RD	1
S08	i052	RD	1
S08	i053	UC	1
S08	i054	UD	1
S08	i055	UD	1
S08	i056	UC	1
S08	i057	RC	1
S08	i058	RD	1
S08	i059	RD	1
S08	i060	UC	1
S08	i061	UC	1
S08	i062	UD	1
S08	i063	RD	1
S08	i064	UC	1
S08	i065	RC	1
S08	i066	UD	1
S08	i067	RD	1
S08	i068	RC	1
S08	i069	RD	1
S08	i070	RC	1
S08	i071	RD	1
S08	i072	UD	1
S08	i073	RC	1
S08	i074	RD	1
S08	i075	RD	1
S08	i076	RD	1
S08	i077	RC	1
S08	i078	UD	1
S08	i079	RD	1
S08	i080	RC	1
S08	i081	RD	1
S08	i082	RD	1
S08	i083	UC	1
S08	i084	UD	1
S08	i085	RD	1
S08	i086	UD	1
S08	i087	RD	1
S08	i088	RD	1
S08	i089	UC	1
S08	i090	RC	1
S08	i091	UC	1
S08	i092	RC	1
S08	i093	UD	1
S08	i094	UC	1
S08	i095	RC	1
S08	i096	UD	0
S08	i097	UD	1
S08	i098	UC	1
S08	i099	UC	1
S08	i100	UC	1
S08	i101	UD	1
S08	i102	RC	1
S08	i103	RC	1
S08	i104	RC	1
S08	i105	RC	1
S08	i106	UC	1
S08	i107	UD	1
S08	i108	UD	1
S08	i109	UD	1
S08	i110	RC	1
S08	i111	RD	1
S08	i112	UD	0
